A1BG        P04217
ACKR4       Q9NPB9
ACLY        P53396
ACMSD       Q8TDX5
ACO1        P21399
ACO2        Q99798
ACOD1       A6NK06
ACOT1       Q86TX2
ACOT2       P49753
ACOT4       Q8N9L9
ACOT6       Q3I5F7
ACOT7       O00154
ACOT8       O14734
ACOT9       Q9Y305
ACOT11      Q8WXI4
ACOT12      Q8WYK0
ACOT13      Q9NPJ3
ACOX1       Q15067
ACOX2       Q99424
ACOX3       O15254
ACOXL       Q9NUZ1
ACP1        P24666
ACP2        P11117
ACP5        P13686
ACP6        Q9NPH0
ACP7        Q6ZNF0
ACPP        P15309
ACPT        Q9BZG2
ACR         P10323
ACRBP       Q8NEB7
ACRV1       P26436
ACSBG1      Q96GR2
ACSBG2      Q5FVE4
ACSF2       Q96CM8
ACSF3       Q4G176
ACSL1       P33121
ACSL3       O95573
ACSL4       O60488
ACSL5       Q9ULC5
ACSL6       Q9UKU0
ACSM1       Q08AH1
ACSM2A      Q08AH3
ACSM2B      Q68CK6
ACSM3       Q53FZ2
ACSM4       P0C7M7
ACSM5       Q6NUN0
ACSM6       Q6P461
ACSS1       Q9NUB1
ACSS2       Q9NR19
ACSS3       Q9H6R3
ACTA1       P68133
ACTA2       P62736
ACTB        P60709
ACTBL2      Q562R1
ACTC1       P68032
ACTG1       P63261
ACTG2       P63267
ACTL6A      O96019
ACTL6B      O94805
ACTL7A      Q9Y615
ACTL7B      Q9Y614
ACTL8       Q9H568
ACTL9       Q8TC94
ACTL10      Q5JWF8
ACTN1       P12814
ACTN2       P35609
ACTN3       Q08043
ACTN4       O43707
ACTR1A      P61163
ACTR1B      P42025
ACTR2       P61160
ACTR3       P61158
ACTR3B      Q9P1U1
ACTR3C      Q9C0K3
ACTR5       Q9H9F9
ACTR6       Q9GZN1
ACTR8       Q9H981
ACTR10      Q9NZ32
ACTRT1      Q8TDG2
ACTRT2      Q8TDY3
ACTRT3      Q9BYD9
ACVR1       Q04771
ACVR1B      P36896
ACVR1C      Q8NER5
ACVR2A      P27037
ACVR2B      Q13705
ACVRL1      P37023
ACY1        Q03154
ACY3        Q96HD9
ACYP1       P07311
ACYP2       P14621
ADA         P00813
ADA2        Q9NZK5
ADAD1       Q96M93
ADAD2       Q8NCV1
ADAL        Q6DHV7
ADAM2       Q99965
ADAM7       Q9H2U9
ADAM8       P78325
ADAM9       Q13443
ADAM10      O14672
ADAM11      O75078
ADAM12      O43184
ADAM15      Q13444
ADAM17      P78536
ADAM18      Q9Y3Q7
ADAM19      Q9H013
ADAM20      O43506
ADAM21      Q9UKJ8
ADAM22      Q9P0K1
ADAM23      O75077
ADAM28      Q9UKQ2
ADAM29      Q9UKF5
ADAM30      Q9UKF2
ADAM32      Q8TC27
ADAM33      Q9BZ11
ADAMDEC1    O15204
ADAMTS1     Q9UHI8
ADAMTS2     O95450
ADAMTS3     O15072
ADAMTS4     O75173
ADAMTS5     Q9UNA0
ADAMTS6     Q9UKP5
ADAMTS7     Q9UKP4
ADAMTS8     Q9UP79
ADAMTS9     Q9P2N4
ADAMTS10    Q9H324
ADAMTS12    P58397
ADAMTS13    Q76LX8
ADAMTS14    Q8WXS8
ADAMTS15    Q8TE58
ADAMTS16    Q8TE57
ADAMTS17    Q8TE56
ADAMTS18    Q8TE60
ADAMTS19    Q8TE59
ADAMTS20    P59510
ADAMTSL1    Q8N6G6
ADAMTSL2    Q86TH1
ADAMTSL3    P82987
ADAMTSL4    Q6UY14
ADAMTSL5    Q6ZMM2
ADAP1       O75689
ADAP2       Q9NPF8
ADAR        P55265
ADARB1      P78563
ADARB2      Q9NS39
ADAT1       Q9BUB4
ADAT2       Q7Z6V5
ADAT3       Q96EY9
ADCK1       Q86TW2
ADCK2       Q7Z695
ADCK5       Q3MIX3
ADCY1       Q08828
ADCY2       Q08462
ADCY3       O60266
ADCY4       Q8NFM4
ADCY5       O95622
ADCY6       O43306
ADCY7       P51828
ADCY8       P40145
ADCY9       O60503
ADCY10      Q96PN6
ADCYAP1     P18509
ADCYAP1R1   P41586
ADD1        P35611
ADD2        P35612
ADD3        Q9UEY8
ADGB        Q8N7X0
ADGRA1      Q86SQ6
ADGRA2      Q96PE1
ADGRA3      Q8IWK6
ADGRB1      O14514
ADGRB2      O60241
ADGRB3      O60242
ADGRD1      Q6QNK2
ADGRD2      Q7Z7M1
ADGRE1      Q14246
ADGRE2      Q9UHX3
ADGRE3      Q9BY15
ADGRE5      P48960
ADGRF1      Q5T601
ADGRF2      Q8IZF7
ADGRF3      Q8IZF5
ADGRF4      Q8IZF3
ADGRF5      Q8IZF2
ADGRG1      Q9Y653
ADGRG2      Q8IZP9
ADGRG3      Q86Y34
ADGRG4      Q8IZF6
ADGRG5      Q8IZF4
ADGRG6      Q86SQ4
ADGRG7      Q96K78
ADGRL1      O94910
ADGRL2      O95490
ADGRL3      Q9HAR2
ADGRL4      Q9HBW9
ADGRV1      Q8WXG9
ADH1A       P07327
ADH1B       P00325
ADH1C       P00326
ADH4        P08319
ADH5        P11766
ADH6        P28332
ADH7        P40394
ADHFE1      Q8IWW8
ADI1        Q9BV57
ADIG        Q0VDE8
ADIPOQ      Q15848
ADIPOR1     Q96A54
ADIPOR2     Q86V24
ADIRF       Q15847
ADK         P55263
ADM         P35318
ADM2        Q7Z4H4
ADM5        C9JUS6
ADNP        Q9H2P0
ADNP2       Q6IQ32
ADO         Q96SZ5
ADORA1      P30542
ADORA2A     P29274
ADORA2B     P29275
ADORA3      P0DMS8
ADPGK       Q9BRR6
ADPRH       P54922
ADPRHL1     Q8NDY3
ADPRHL2     Q9NX46
ADPRM       Q3LIE5
ADRA1A      P35348
ADRA1B      P35368
ADRA1D      P25100
ADRA2A      P08913
ADRA2B      P18089
ADRA2C      P18825
ADRB1       P08588
ADRB2       P07550
ADRB3       P13945
ADRM1       Q16186
ADSL        P30566
ADSS        P30520
ADSSL1      Q8N142
ADTRP       Q96IZ2
AEBP1       Q8IUX7
AEBP2       Q6ZN18
AEN         Q8WTP8
AES         Q08117
AFAP1       Q8N556
AFAP1L1     Q8TED9
AFAP1L2     Q8N4X5
AFDN        P55196
AFF1        P51825
AFF2        P51816
AFF3        P51826
AFF4        Q9UHB7
AFG1L       Q8WV93
AFG3L2      Q9Y4W6
AFM         P43652
AFMID       Q63HM1
AFP         P02771
AFTPH       Q6ULP2
AGA         P20933
AGAP1       Q9UPQ3
AGAP2       Q99490
AGAP3       Q96P47
AGAP4       Q96P64
AGAP5       A6NIR3
AGAP6       Q5VW22
AGAP9       Q5VTM2
AGBL1       Q96MI9
AGBL2       Q5U5Z8
AGBL3       Q8NEM8
AGBL4       Q5VU57
AGBL5       Q8NDL9
AGER        Q15109
AGFG1       P52594
AGFG2       O95081
AGGF1       Q8N302
AGK         Q53H12
AGL         P35573
AGMAT       Q9BSE5
AGMO        Q6ZNB7
AGO1        Q9UL18
AGO2        Q9UKV8
AGO3        Q9H9G7
AGO4        Q9HCK5
AGPAT1      Q99943
AGPAT2      O15120
AGPAT3      Q9NRZ7
AGPAT4      Q9NRZ5
AGPAT5      Q9NUQ2
AGPS        O00116
AGR2        O95994
AGR3        Q8TD06
AGRN        O00468
AGRP        O00253
AGT         P01019
AGTPBP1     Q9UPW5
AGTR1       P30556
AGTR2       P50052
AGTRAP      Q6RW13
AGXT        P21549
AGXT2       Q9BYV1
AHCTF1      Q8WYP5
AHCY        P23526
AHCYL1      O43865
AHCYL2      Q96HN2
AHDC1       Q5TGY3
AHI1        Q8N157
AHNAK       Q09666
AHNAK2      Q8IVF2
AHR         P35869
AHRR        A9YTQ3
AHSA1       O95433
AHSA2       Q719I0
AHSG        P02765
AHSP        Q9NZD4
AICDA       Q9GZX7
AIDA        Q96BJ3
AIF1        P55008
AIF1L       Q9BQI0
AIFM1       O95831
AIFM2       Q9BRQ8
AIFM3       Q96NN9
AIG1        Q9NVV5
AIM2        O14862
AIMP1       Q12904
AIMP2       Q13155
AIP         O00170
AIPL1       Q9NZN9
AIRE        O43918
AJAP1       Q9UKB5
AJUBA       Q96IF1
AK1         P00568
AK2         P54819
AK3         Q9UIJ7
AK4         P27144
AK5         Q9Y6K8
AK6         Q9Y3D8
AK7         Q96M32
AK8         Q96MA6
AK9         Q5TCS8
AKAIN1      P0CW23
AKAP1       Q92667
AKAP2       Q9Y2D5
AKAP3       O75969
AKAP4       Q5JQC9
AKAP5       P24588
AKAP6       Q13023
AKAP8       O43823
AKAP8L      Q9ULX6
AKAP9       Q99996
AKAP10      O43572
AKAP11      Q9UKA4
AKAP12      Q02952
AKAP13      Q12802
AKAP14      Q86UN6
AKAP17A     Q02040
AKIP1       Q9NQ31
AKIRIN1     Q9H9L7
AKIRIN2     Q53H80
AKNA        Q7Z591
AKNAD1      Q5T1N1
AKR1A1      P14550
AKR1B1      P15121
AKR1B10     O60218
AKR1B15     C9JRZ8
AKR1C1      Q04828
AKR1C2      P52895
AKR1C3      P42330
AKR1C4      P17516
AKR1D1      P51857
AKR1E2      Q96JD6
AKR7A2      O43488
AKR7A3      O95154
AKR7L       Q8NHP1
AKT1        P31749
AKT1S1      Q96B36
AKT2        P31751
AKT3        Q9Y243
AKTIP       Q9H8T0
ALAD        P13716
ALAS1       P13196
ALAS2       P22557
ALB         P02768
ALCAM       Q13740
ALDH1A1     P00352
ALDH1A2     O94788
ALDH1A3     P47895
ALDH1B1     P30837
ALDH1L1     O75891
ALDH1L2     Q3SY69
ALDH2       P05091
ALDH3A1     P30838
ALDH3A2     P51648
ALDH3B1     P43353
ALDH3B2     P48448
ALDH4A1     P30038
ALDH5A1     P51649
ALDH6A1     Q02252
ALDH7A1     P49419
ALDH8A1     Q9H2A2
ALDH9A1     P49189
ALDH16A1    Q8IZ83
ALDH18A1    P54886
ALDOA       P04075
ALDOB       P05062
ALDOC       P09972
ALG1        Q9BT22
ALG1L       Q6GMV1
ALG1L2      C9J202
ALG2        Q9H553
ALG3        Q92685
ALG5        Q9Y673
ALG6        Q9Y672
ALG8        Q9BVK2
ALG9        Q9H6U8
ALG10       Q5BKT4
ALG10B      Q5I7T1
ALG11       Q2TAA5
ALG12       Q9BV10
ALG13       Q9NP73
ALG14       Q96F25
ALK         Q9UM73
ALKAL1      Q6UXT8
ALKAL2      Q6UX46
ALKBH1      Q13686
ALKBH2      Q6NS38
ALKBH3      Q96Q83
ALKBH4      Q9NXW9
ALKBH5      Q6P6C2
ALKBH6      Q3KRA9
ALKBH7      Q9BT30
ALKBH8      Q96BT7
ALLC        Q8N6M5
ALMS1       Q8TCU4
ALOX5       P09917
ALOX5AP     P20292
ALOX12      P18054
ALOX12B     O75342
ALOX15      P16050
ALOX15B     O15296
ALOXE3      Q9BYJ1
ALPI        P09923
ALPK1       Q96QP1
ALPK2       Q86TB3
ALPK3       Q96L96
ALPL        P05186
ALPP        P05187
ALPPL2      P10696
ALS2        Q96Q42
ALS2CL      Q60I27
ALS2CR12    Q96Q35
ALX1        Q15699
ALX3        O95076
ALX4        Q9H161
ALYREF      Q86V81
AMACR       Q9UHK6
AMBN        Q9NP70
AMBP        P02760
AMBRA1      Q9C0C7
AMD1        P17707
AMDHD1      Q96NU7
AMDHD2      Q9Y303
AMELX       Q99217
AMELY       Q99218
AMER1       Q5JTC6
AMER2       Q8N7J2
AMER3       Q8N944
AMFR        Q9UKV5
AMH         P03971
AMHR2       Q16671
AMIGO1      Q86WK6
AMIGO2      Q86SJ2
AMIGO3      Q86WK7
AMMECR1     Q9Y4X0
AMMECR1L    Q6DCA0
AMN         Q9BXJ7
AMN1        Q8IY45
AMOT        Q4VCS5
AMOTL1      Q8IY63
AMOTL2      Q9Y2J4
AMPD1       P23109
AMPD2       Q01433
AMPD3       Q01432
AMPH        P49418
AMT         P48728
AMTN        Q6UX39
AMY1A       P04745
AMY1B       P04745
AMY1C       P04745
AMY2A       P04746
AMY2B       P19961
AMZ1        Q400G9
AMZ2        Q86W34
ANAPC1      Q9H1A4
ANAPC2      Q9UJX6
ANAPC4      Q9UJX5
ANAPC5      Q9UJX4
ANAPC7      Q9UJX3
ANAPC10     Q9UM13
ANAPC11     Q9NYG5
ANAPC13     Q9BS18
ANAPC15     P60006
ANAPC16     Q96DE5
ANG         P03950
ANGEL1      Q9UNK9
ANGEL2      Q5VTE6
ANGPT1      Q15389
ANGPT2      O15123
ANGPT4      Q9Y264
ANGPTL1     O95841
ANGPTL2     Q9UKU9
ANGPTL3     Q9Y5C1
ANGPTL4     Q9BY76
ANGPTL5     Q86XS5
ANGPTL6     Q8NI99
ANGPTL7     O43827
ANGPTL8     Q6UXH0
ANHX        E9PGG2
ANK1        P16157
ANK2        Q01484
ANK3        Q12955
ANKAR       Q7Z5J8
ANKDD1A     Q495B1
ANKDD1B     A6NHY2
ANKEF1      Q9NU02
ANKFN1      Q8N957
ANKFY1      Q9P2R3
ANKH        Q9HCJ1
ANKHD1      Q8IWZ3
ANKIB1      Q9P2G1
ANKK1       Q8NFD2
ANKLE1      Q8NAG6
ANKLE2      Q86XL3
ANKMY1      Q9P2S6
ANKMY2      Q8IV38
ANKRA2      Q9H9E1
ANKRD1      Q15327
ANKRD2      Q9GZV1
ANKRD6      Q9Y2G4
ANKRD7      Q92527
ANKRD9      Q96BM1
ANKRD10     Q9NXR5
ANKRD11     Q6UB99
ANKRD12     Q6UB98
ANKRD13A    Q8IZ07
ANKRD13B    Q86YJ7
ANKRD13C    Q8N6S4
ANKRD13D    Q6ZTN6
ANKRD16     Q6P6B7
ANKRD17     O75179
ANKRD18A    Q8IVF6
ANKRD18B    A2A2Z9
ANKRD20A1   Q5TYW2
ANKRD20A2   Q5SQ80
ANKRD20A3   Q5VUR7
ANKRD20A4   Q4UJ75
ANKRD22     Q5VYY1
ANKRD23     Q86SG2
ANKRD24     Q8TF21
ANKRD26     Q9UPS8
ANKRD27     Q96NW4
ANKRD28     O15084
ANKRD29     Q8N6D5
ANKRD30A    Q9BXX3
ANKRD30B    Q9BXX2
ANKRD30BL   A7E2S9
ANKRD31     Q8N7Z5
ANKRD33     Q7Z3H0
ANKRD33B    A6NCL7
ANKRD34A    Q69YU3
ANKRD34B    A5PLL1
ANKRD34C    P0C6C1
ANKRD35     Q8N283
ANKRD36     A6QL64
ANKRD36B    Q8N2N9
ANKRD36C    Q5JPF3
ANKRD37     Q7Z713
ANKRD39     Q53RE8
ANKRD40     Q6AI12
ANKRD42     Q8N9B4
ANKRD44     Q8N8A2
ANKRD45     Q5TZF3
ANKRD46     Q86W74
ANKRD49     Q8WVL7
ANKRD50     Q9ULJ7
ANKRD52     Q8NB46
ANKRD53     Q8N9V6
ANKRD54     Q6NXT1
ANKRD55     Q3KP44
ANKRD60     Q9BZ19
ANKRD61     A6NGH8
ANKRD62     A6NC57
ANKRD63     C9JTQ0
ANKRD65     E5RJM6
ANKRD66     B4E2M5
ANKS1A      Q92625
ANKS1B      Q7Z6G8
ANKS3       Q6ZW76
ANKS4B      Q8N8V4
ANKS6       Q68DC2
ANKUB1      A6NFN9
ANKZF1      Q9H8Y5
ANLN        Q9NQW6
ANO1        Q5XXA6
ANO2        Q9NQ90
ANO3        Q9BYT9
ANO4        Q32M45
ANO5        Q75V66
ANO6        Q4KMQ2
ANO7        Q6IWH7
ANO8        Q9HCE9
ANO9        A1A5B4
ANO10       Q9NW15
ANOS1       P23352
ANP32A      P39687
ANP32B      Q92688
ANP32D      O95626
ANP32E      Q9BTT0
ANPEP       P15144
ANTXR1      Q9H6X2
ANTXR2      P58335
ANTXRL      A6NF34
ANXA1       P04083
ANXA2       P07355
ANXA2R      Q3ZCQ2
ANXA3       P12429
ANXA4       P09525
ANXA5       P08758
ANXA6       P08133
ANXA7       P20073
ANXA8       P13928
ANXA8L1     Q5VT79
ANXA9       O76027
ANXA10      Q9UJ72
ANXA11      P50995
ANXA13      P27216
AOAH        P28039
AOC1        P19801
AOC2        O75106
AOC3        Q16853
AOX1        Q06278
AP1AR       Q63HQ0
AP1B1       Q10567
AP1G1       O43747
AP1G2       O75843
AP1M1       Q9BXS5
AP1M2       Q9Y6Q5
AP1S1       P61966
AP1S2       P56377
AP1S3       Q96PC3
AP2A1       O95782
AP2A2       O94973
AP2B1       P63010
AP2M1       Q96CW1
AP2S1       P53680
AP3B1       O00203
AP3B2       Q13367
AP3D1       O14617
AP3M1       Q9Y2T2
AP3M2       P53677
AP3S1       Q92572
AP3S2       P59780
AP4B1       Q9Y6B7
AP4E1       Q9UPM8
AP4M1       O00189
AP4S1       Q9Y587
AP5B1       Q2VPB7
AP5M1       Q9H0R1
AP5S1       Q9NUS5
AP5Z1       O43299
APAF1       O14727
APBA1       Q02410
APBA2       Q99767
APBA3       O96018
APBB1       O00213
APBB1IP     Q7Z5R6
APBB2       Q92870
APC         P25054
APC2        O95996
APCDD1      Q8J025
APCDD1L     Q8NCL9
APCS        P02743
APEH        P13798
APELA       P0DMC3
APEX1       P27695
APEX2       Q9UBZ4
APH1A       Q96BI3
APH1B       Q8WW43
API5        Q9BZZ5
APIP        Q96GX9
APLF        Q8IW19
APLN        Q9ULZ1
APLNR       P35414
APLP1       P51693
APLP2       Q06481
APMAP       Q9HDC9
APOA1       P02647
APOA2       P02652
APOA4       P06727
APOA5       Q6Q788
APOB        P04114
APOBEC1     P41238
APOBEC2     Q9Y235
APOBEC3A    P31941
APOBEC3B    Q9UH17
APOBEC3C    Q9NRW3
APOBEC3D    Q96AK3
APOBEC3F    Q8IUX4
APOBEC3G    Q9HC16
APOBEC3H    Q6NTF7
APOBEC4     Q8WW27
APOBR       Q0VD83
APOC1       P02654
APOC2       P02655
APOC3       P02656
APOC4       P55056
APOD        P05090
APOE        P02649
APOF        Q13790
APOH        P02749
APOL1       O14791
APOL2       Q9BQE5
APOL3       O95236
APOL4       Q9BPW4
APOL5       Q9BWW9
APOL6       Q9BWW8
APOLD1      Q96LR9
APOM        O95445
APOO        Q9BUR5
APOOL       Q6UXV4
APOPT1      Q96IL0
APP         P05067
APPBP2      Q92624
APPL1       Q9UKG1
APPL2       Q8NEU8
APRT        P07741
APTX        Q7Z2E3
AQP1        P29972
AQP2        P41181
AQP3        Q92482
AQP4        P55087
AQP5        P55064
AQP6        Q13520
AQP7        O14520
AQP8        O94778
AQP9        O43315
AQP10       Q96PS8
AQP11       Q8NBQ7
AQP12A      Q8IXF9
AQP12B      A6NM10
AQR         O60306
AR          P10275
ARAF        P10398
ARAP1       Q96P48
ARAP2       Q8WZ64
ARAP3       Q8WWN8
ARC         Q7LC44
ARCN1       P48444
AREG        P15514
AREL1       O15033
ARF1        P84077
ARF3        P61204
ARF4        P18085
ARF5        P84085
ARF6        P62330
ARFGAP1     Q8N6T3
ARFGAP2     Q8N6H7
ARFGAP3     Q9NP61
ARFGEF1     Q9Y6D6
ARFGEF2     Q9Y6D5
ARFGEF3     Q5TH69
ARFIP1      P53367
ARFIP2      P53365
ARFRP1      Q13795
ARG1        P05089
ARG2        P78540
ARGFX       A6NJG6
ARGLU1      Q9NWB6
ARHGAP1     Q07960
ARHGAP4     P98171
ARHGAP5     Q13017
ARHGAP6     O43182
ARHGAP8     P85298
ARHGAP9     Q9BRR9
ARHGAP10    A1A4S6
ARHGAP11A   Q6P4F7
ARHGAP11B   Q3KRB8
ARHGAP12    Q8IWW6
ARHGAP15    Q53QZ3
ARHGAP17    Q68EM7
ARHGAP18    Q8N392
ARHGAP19    Q14CB8
ARHGAP20    Q9P2F6
ARHGAP21    Q5T5U3
ARHGAP22    Q7Z5H3
ARHGAP23    Q9P227
ARHGAP24    Q8N264
ARHGAP25    P42331
ARHGAP26    Q9UNA1
ARHGAP27    Q6ZUM4
ARHGAP28    Q9P2N2
ARHGAP29    Q52LW3
ARHGAP30    Q7Z6I6
ARHGAP31    Q2M1Z3
ARHGAP32    A7KAX9
ARHGAP33    O14559
ARHGAP35    Q9NRY4
ARHGAP36    Q6ZRI8
ARHGAP39    Q9C0H5
ARHGAP40    Q5TG30
ARHGAP42    A6NI28
ARHGAP44    Q17R89
ARHGAP45    Q92619
ARHGDIA     P52565
ARHGDIB     P52566
ARHGDIG     Q99819
ARHGEF1     Q92888
ARHGEF2     Q92974
ARHGEF3     Q9NR81
ARHGEF4     Q9NR80
ARHGEF5     Q12774
ARHGEF6     Q15052
ARHGEF7     Q14155
ARHGEF9     O43307
ARHGEF10    O15013
ARHGEF10L   Q9HCE6
ARHGEF11    O15085
ARHGEF12    Q9NZN5
ARHGEF15    O94989
ARHGEF16    Q5VV41
ARHGEF17    Q96PE2
ARHGEF18    Q6ZSZ5
ARHGEF19    Q8IW93
ARHGEF25    Q86VW2
ARHGEF26    Q96DR7
ARHGEF28    Q8N1W1
ARHGEF33    A8MVX0
ARHGEF35    A5YM69
ARHGEF37    A1IGU5
ARHGEF38    Q9NXL2
ARHGEF39    Q8N4T4
ARHGEF40    Q8TER5
ARID1A      O14497
ARID1B      Q8NFD5
ARID2       Q68CP9
ARID3A      Q99856
ARID3B      Q8IVW6
ARID3C      A6NKF2
ARID4A      P29374
ARID4B      Q4LE39
ARID5A      Q03989
ARID5B      Q14865
ARIH1       Q9Y4X5
ARIH2       O95376
ARIH2OS     Q8N7S6
ARL1        P40616
ARL2        P36404
ARL2BP      Q9Y2Y0
ARL3        P36405
ARL4A       P40617
ARL4C       P56559
ARL4D       P49703
ARL5A       Q9Y689
ARL5B       Q96KC2
ARL5C       A6NH57
ARL6        Q9H0F7
ARL6IP1     Q15041
ARL6IP4     Q66PJ3
ARL6IP5     O75915
ARL6IP6     Q8N6S5
ARL8A       Q96BM9
ARL8B       Q9NVJ2
ARL9        Q6T311
ARL10       Q8N8L6
ARL11       Q969Q4
ARL13A      Q5H913
ARL13B      Q3SXY8
ARL14       Q8N4G2
ARL14EP     Q8N8R7
ARL14EPL    P0DKL9
ARL15       Q9NXU5
ARL16       Q0P5N6
ARL17A      Q8IVW1
ARL17B      Q8IVW1
ARMC1       Q9NVT9
ARMC2       Q8NEN0
ARMC3       Q5W041
ARMC4       Q5T2S8
ARMC5       Q96C12
ARMC6       Q6NXE6
ARMC7       Q9H6L4
ARMC8       Q8IUR7
ARMC9       Q7Z3E5
ARMC10      Q8N2F6
ARMC12      Q5T9G4
ARMCX1      Q9P291
ARMCX2      Q7L311
ARMCX3      Q9UH62
ARMCX4      Q5H9R4
ARMCX5      Q6P1M9
ARMCX6      Q7L4S7
ARMS2       P0C7Q2
ARMT1       Q9H993
ARNT        P27540
ARNT2       Q9HBZ2
ARNTL       O00327
ARNTL2      Q8WYA1
ARPC1A      Q92747
ARPC1B      O15143
ARPC2       O15144
ARPC3       O15145
ARPC4       P59998
ARPC5       O15511
ARPC5L      Q9BPX5
ARPIN       Q7Z6K5
ARPP19      P56211
ARPP21      Q9UBL0
ARR3        P36575
ARRB1       P49407
ARRB2       P32121
ARRDC1      Q8N5I2
ARRDC2      Q8TBH0
ARRDC3      Q96B67
ARRDC4      Q8NCT1
ARRDC5      A6NEK1
ARSA        P15289
ARSB        P15848
ARSD        P51689
ARSE        P51690
ARSF        P54793
ARSG        Q96EG1
ARSH        Q5FYA8
ARSI        Q5FYB1
ARSJ        Q5FYB0
ARSK        Q6UWY0
ART1        P52961
ART3        Q13508
ART4        Q93070
ART5        Q96L15
ARTN        Q5T4W7
ARV1        Q9H2C2
ARVCF       O00192
ARX         Q96QS3
AS3MT       Q9HBK9
ASAH1       Q13510
ASAH2       Q9NR71
ASAH2B      P0C7U1
ASAP1       Q9ULH1
ASAP2       O43150
ASAP3       Q8TDY4
ASB1        Q9Y576
ASB2        Q96Q27
ASB3        Q9Y575
ASB4        Q9Y574
ASB5        Q8WWX0
ASB6        Q9NWX5
ASB7        Q9H672
ASB8        Q9H765
ASB9        Q96DX5
ASB10       Q8WXI3
ASB11       Q8WXH4
ASB12       Q8WXK4
ASB13       Q8WXK3
ASB14       A6NK59
ASB15       Q8WXK1
ASB16       Q96NS5
ASB17       Q8WXJ9
ASB18       Q6ZVZ8
ASCC1       Q8N9N2
ASCC2       Q9H1I8
ASCC3       Q8N3C0
ASCL1       P50553
ASCL2       Q99929
ASCL3       Q9NQ33
ASCL4       Q6XD76
